"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 18 13:46:34 CST 2022","Wed May 18 13:46:34 CST 2022","5","","test_useradd","Test_useradd","","","test_useraddsuccess[useradddata1]",""
"passed","Wed May 18 13:54:48 CST 2022","Wed May 18 13:54:48 CST 2022","3","test_yongli","test_login","Test_login","","","test_01[udata2]",""
"passed","Wed May 18 13:54:48 CST 2022","Wed May 18 13:54:48 CST 2022","4","test_yongli","test_login","Test_login","","","test_01[udata1]",""
"passed","Wed May 18 13:54:48 CST 2022","Wed May 18 13:54:48 CST 2022","5","test_yongli","test_useradd","Test_useradd","","","test_useraddsuccess[useradddata2]",""
"passed","Wed May 18 13:46:34 CST 2022","Wed May 18 13:46:34 CST 2022","4","","test_login","Test_login","","","test_01[udata2]",""
"passed","Wed May 18 13:46:34 CST 2022","Wed May 18 13:46:34 CST 2022","4","","test_login","Test_login","","","test_01[udata1]",""
"passed","Wed May 18 13:54:48 CST 2022","Wed May 18 13:54:48 CST 2022","4","test_yongli","test_useradd","Test_useradd","","","test_useraddsuccess[useradddata1]",""
"passed","Wed May 18 13:46:34 CST 2022","Wed May 18 13:46:34 CST 2022","9","","test_login","Test_login","","","test_01[udata0]",""
"passed","Wed May 18 13:46:34 CST 2022","Wed May 18 13:46:34 CST 2022","5","","test_useradd","Test_useradd","","","test_useraddsuccess[useradddata0]",""
"passed","Wed May 18 13:46:34 CST 2022","Wed May 18 13:46:34 CST 2022","4","","test_useradd","Test_useradd","","","test_useraddsuccess[useradddata2]",""
"passed","Wed May 18 13:54:48 CST 2022","Wed May 18 13:54:48 CST 2022","5","test_yongli","test_useradd","Test_useradd","","","test_useraddsuccess[useradddata0]",""
"passed","Wed May 18 13:54:48 CST 2022","Wed May 18 13:54:48 CST 2022","9","test_yongli","test_login","Test_login","","","test_01[udata0]",""
